analysis_type,seed,fold,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp,selection_note,train_recall,train_specificity,train_precision,train_f1
fixed_global_sweep,43,2,0.25,38,0.6363636363636364,0.3125,0.56,0.5957446808510638,0.6136363636363636,0.5,0.4744318181818182,5,11,8,14,"5,11,8,14",,,,,
fixed_global_sweep,43,3,0.25,39,0.6842105263157895,0.7,0.6842105263157895,0.6842105263157895,0.7289473684210526,0.6923076923076923,0.6921052631578948,14,6,6,13,"14,6,6,13",,,,,
fixed_global_sweep,43,4,0.25,38,0.6875,0.36363636363636365,0.44,0.5365853658536586,0.7159090909090909,0.5,0.5255681818181819,8,14,5,11,"8,14,5,11",,,,,
fixed_global_sweep,43,5,0.25,38,0.7647058823529411,0.23809523809523808,0.4482758620689655,0.5652173913043478,0.6638655462184874,0.47368421052631576,0.5014005602240896,5,16,4,13,"5,16,4,13",,,,,
fixed_global_sweep,44,1,0.25,38,0.625,0.36363636363636365,0.4166666666666667,0.5,0.6335227272727273,0.47368421052631576,0.4943181818181818,8,14,6,10,"8,14,6,10",,,,,
fixed_global_sweep,44,2,0.25,37,0.7857142857142857,0.5652173913043478,0.5238095238095238,0.6285714285714286,0.7484472049689441,0.6486486486486487,0.6754658385093167,13,10,3,11,"13,10,3,11",,,,,
fixed_global_sweep,44,3,0.25,39,0.8571428571428571,0.24,0.3870967741935484,0.5333333333333333,0.7571428571428571,0.46153846153846156,0.5485714285714285,6,19,2,12,"6,19,2,12",,,,,
fixed_global_sweep,44,4,0.25,39,0.7894736842105263,0.3,0.5172413793103449,0.625,0.7052631578947368,0.5384615384615384,0.5447368421052632,6,14,4,15,"6,14,4,15",,,,,
fixed_global_sweep,44,5,0.25,38,0.7142857142857143,0.35294117647058826,0.5769230769230769,0.6382978723404256,0.7226890756302522,0.5526315789473685,0.5336134453781513,6,11,6,15,"6,11,6,15",,,,,
fixed_global_sweep,45,1,0.25,38,0.7272727272727273,0.4444444444444444,0.34782608695652173,0.47058823529411764,0.7676767676767676,0.5263157894736842,0.5858585858585859,12,15,3,8,"12,15,3,8",,,,,
